id, name                                          , composition               , adsorption_site_type, delta_zpe_ev        , zpe_h_star_ev      , half_zpe_h2_ev     , delta_g_h_ev
61, USPEX_VARIABLE_W-N-2D_4683_H_bridge_1_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_1            , 0.12477243302709543 , 0.2636875709834618 , 0.13891513795636637, 0.06296249802709544
62, USPEX_VARIABLE_W-N-2D_4683_H_bridge_2_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_2            , 0.12485873272435163 , 0.263773870680718  , 0.13891513795636637, 0.06434901772435167
63, USPEX_VARIABLE_W-N-2D_4683_H_bridge_3_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_3            , 0.06505259605869068 , 0.20396773401505705, 0.13891513795636637, -0.9154211389413094
64, USPEX_VARIABLE_W-N-2D_4683_H_bridge_4_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_4            , 0.12523269721123922 , 0.2641478351676056 , 0.13891513795636637, 0.06391420221123925
65, USPEX_VARIABLE_W-N-2D_4683_H_bridge_5_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_5            , 0.06485829478004498 , 0.20377343273641135, 0.13891513795636637, -0.9160444502199552
66, USPEX_VARIABLE_W-N-2D_4683_H_hollow_0_along_z , "{""N"": 1.0, ""W"": 3.0}", hollow_0            , 0.06531513396269917 , 0.20423027191906554, 0.13891513795636637, -0.9152260210373009
67, USPEX_VARIABLE_W-N-2D_4683_H_hollow_1_along_z , "{""N"": 1.0, ""W"": 3.0}", hollow_1            , 0.06508280090313667 , 0.20399793885950304, 0.13891513795636637, -0.9142408740968635
68, USPEX_VARIABLE_W-N-2D_4683_H_hollow_2_along_z , "{""N"": 1.0, ""W"": 3.0}", hollow_2            , 0.06509207306141648 , 0.20400721101778285, 0.13891513795636637, -0.9143267619385838
69, USPEX_VARIABLE_W-N-2D_4683_H_hollow_3_along_z , "{""N"": 1.0, ""W"": 3.0}", hollow_3            , 0.06528163715180846 , 0.20419677510817483, 0.13891513795636637, -0.9140128778481917
70, USPEX_VARIABLE_W-N-2D_4683_H_ontop_0_along_z  , "{""N"": 1.0, ""W"": 3.0}", ontop_0             , 0.06541312753959111 , 0.20432826549595748, 0.13891513795636637, -0.9133871574604089
71, USPEX_VARIABLE_W-N-2D_4683_H_ontop_1_along_z  , "{""N"": 1.0, ""W"": 3.0}", ontop_1             , 0.12579932464957436 , 0.2647144626059407 , 0.13891513795636637, 0.06840260964957437
